frame,abstime,reltime,april10_baselineBoardC_3.seq:Rectangle 1 [C]:max,april10_baselineBoardC_3.seq:Polygon 1 [C]:max,april10_baselineBoardC_3.seq:Rectangle 2 [C]:max,april10_baselineBoardC_3.seq:Rectangle 3 [C]:max,april10_baselineBoardC_3.seq:Rectangle 4 [C]:max,april10_baselineBoardC_3.seq:Rectangle 5 [C]:mean
138,2000-02-10 06:32:04.239000,21.922000,2.606765e+01,2.746125e+01,2.732804e+01,2.666618e+01,2.485351e+01,2.472812e+01
139,2000-02-10 06:32:04.399000,22.082000,2.604742e+01,2.746125e+01,2.716129e+01,2.663265e+01,2.491490e+01,2.474241e+01
140,2000-02-10 06:32:04.559000,22.242000,2.608788e+01,2.744128e+01,2.714126e+01,2.659910e+01,2.492171e+01,2.474215e+01
141,2000-02-10 06:32:04.719000,22.402000,2.608788e+01,2.745459e+01,2.710787e+01,2.661252e+01,2.492853e+01,2.474920e+01
142,2000-02-10 06:32:04.879000,22.562000,2.614181e+01,2.755440e+01,2.722135e+01,2.668630e+01,2.502393e+01,2.478117e+01
143,2000-02-10 06:32:05.039000,22.722000,2.630343e+01,2.755440e+01,2.719466e+01,2.667289e+01,2.496943e+01,2.480118e+01
144,2000-02-10 06:32:05.199000,22.882000,2.613507e+01,2.766740e+01,2.722135e+01,2.663935e+01,2.498306e+01,2.480876e+01
145,2000-02-10 06:32:05.359000,23.042000,2.616203e+01,2.750783e+01,2.728137e+01,2.668630e+01,2.499668e+01,2.481433e+01
146,2000-02-10 06:32:05.519000,23.202000,2.621592e+01,2.755440e+01,2.728137e+01,2.671982e+01,2.505117e+01,2.482758e+01
147,2000-02-10 06:32:05.679000,23.362000,2.616203e+01,2.757435e+01,2.721468e+01,2.670641e+01,2.501712e+01,2.483427e+01
148,2000-02-10 06:32:05.839000,23.522000,2.618224e+01,2.756105e+01,2.726137e+01,2.668630e+01,2.501712e+01,2.483898e+01
149,2000-02-10 06:32:05.999000,23.682000,2.618224e+01,2.755440e+01,2.728137e+01,2.674663e+01,2.504436e+01,2.484538e+01
150,2000-02-10 06:32:06.159000,23.842000,2.622265e+01,2.766740e+01,2.731470e+01,2.667959e+01,2.496943e+01,2.485237e+01
151,2000-02-10 06:32:06.319000,24.002000,2.619571e+01,2.761424e+01,2.732804e+01,2.676673e+01,2.500350e+01,2.485494e+01
152,2000-02-10 06:32:06.479000,24.162000,2.626305e+01,2.762088e+01,2.727470e+01,2.685379e+01,2.498987e+01,2.486658e+01
153,2000-02-10 06:32:06.639000,24.322000,2.629670e+01,2.768733e+01,2.730804e+01,2.676003e+01,2.513285e+01,2.486905e+01
154,2000-02-10 06:32:06.799000,24.482000,2.625632e+01,2.765411e+01,2.727470e+01,2.678013e+01,2.507841e+01,2.487917e+01
155,2000-02-10 06:32:06.959000,24.642000,2.624959e+01,2.755440e+01,2.726137e+01,2.678683e+01,2.501031e+01,2.486047e+01
156,2000-02-10 06:32:07.119000,24.802000,2.633707e+01,2.756105e+01,2.724803e+01,2.676003e+01,2.506479e+01,2.486516e+01
157,2000-02-10 06:32:07.279000,24.962000,2.629670e+01,2.774709e+01,2.732137e+01,2.678683e+01,2.503755e+01,2.487242e+01
158,2000-02-10 06:32:07.439000,25.122000,2.624285e+01,2.771390e+01,2.738800e+01,2.676003e+01,2.511244e+01,2.486599e+01
159,2000-02-10 06:32:07.599000,25.282000,2.626978e+01,2.768069e+01,2.739466e+01,2.678683e+01,2.512605e+01,2.487949e+01
160,2000-02-10 06:32:07.759000,25.442000,2.624285e+01,2.762753e+01,2.731470e+01,2.675333e+01,2.505117e+01,2.488296e+01
161,2000-02-10 06:32:07.919000,25.602000,2.630343e+01,2.772718e+01,2.732137e+01,2.676673e+01,2.505117e+01,2.489082e+01
162,2000-02-10 06:32:08.079000,25.762000,2.628324e+01,2.768733e+01,2.731470e+01,2.676003e+01,2.511244e+01,2.490235e+01
163,2000-02-10 06:32:08.239000,25.922000,2.633035e+01,2.770061e+01,2.745459e+01,2.672652e+01,2.507841e+01,2.490207e+01
